otu	sample	abundance	participant_id	study_week	semester	supplement_consumed	frequency	final_weight	phylum	class	order	family	genus
sv-106:U390-3_S302_L001_001	U165_8	0.04800817160367722	U165	week3	Winter2016	BRMPS	2xdaily	0.43	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U165_4	0.04569055036344756	U165	week1	Winter2016	BRMPS	2xdaily	0.42	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U150_4	0.044745057232049947	U150	week1	Winter2016	BRMPS	2xdaily	0.37	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U510_6	0.033468559837728194	U510	week3	Winter2018	BRMPS	2xdaily	0.5	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U165_2	0.03153611393692777	U165	week1	Winter2016	BRMPS	2xdaily	0.45	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U150_5	0.029501525940996948	U150	week3	Winter2016	BRMPS	2xdaily	0.48	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U165_5	0.02727272727272727	U165	week3	Winter2016	BRMPS	2xdaily	0.54	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U510_5	0.02620967741935484	U510	week3	Winter2018	BRMPS	2xdaily	0.52	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U150_6	0.025380710659898477	U150	week3	Winter2016	BRMPS	2xdaily	0.48	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U165_7	0.024489795918367346	U165	week3	Winter2016	BRMPS	2xdaily	0.47	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U150_2	0.015182186234817813	U150	week1	Winter2016	BRMPS	2xdaily	0.44	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U268_5	0.011247443762781187	U268	week3	Fall2016	BRMPS	1xdaily	0.14	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U268_1	0.006128702757916241	U268	week1	Fall2016	BRMPS	1xdaily	0.27	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U268_6	0.006109979633401222	U268	week3	Fall2016	BRMPS	1xdaily	0.19	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U268_2	0.00408997955010225	U268	week1	Fall2016	BRMPS	1xdaily	0.27	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U268_4	0.004073319755600814	U268	week3	Fall2016	BRMPS	1xdaily	0.12	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U574_1	0.003194888178913738	U574	week1	Winter2018	BRMPS	2xdaily	NA	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U268_3	0.0030303030303030303	U268	week1	Fall2016	BRMPS	1xdaily	0.77	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U574_6	0.002277904328018223	U574	week3	Winter2018	BRMPS	2xdaily	0.26	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U574_2	0.002229654403567447	U574	week1	Winter2018	BRMPS	2xdaily	0.39	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U574_3	0.0022026431718061676	U574	week1	Winter2018	BRMPS	2xdaily	0.35	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U574_4	0.001098901098901099	U574	week3	Winter2018	BRMPS	2xdaily	0.51	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U149_8	0.0010204081632653062	U149	week3	Winter2016	BRMPS	2xdaily	0.44	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-1342:U295-6_S105_L001_001	U521_1	0.005154639175257732	U521	week1	Winter2018	BRMPS	2xdaily	0.32	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
sv-340:U763-8_S343_L001_001	U526_3	0.006224066390041493	U526	week1	Winter2018	BRMPS	2xdaily	0.57	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U276_3	0.004419889502762431	U276	week1	Fall2016	BRMPS	1xdaily	0.48	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U152_7	0.004032258064516129	U152	week3	Winter2016	BRMPS	2xdaily	0.52	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U185_1	0.0036855036855036856	U185	week1	Winter2016	BRMPS	2xdaily	0.67	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U185_4	0.003663003663003663	U185	week1	Winter2016	BRMPS	2xdaily	0.18	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U223_2	0.003444316877152698	U223	week1	Fall2016	BRMPS	1xdaily	0.79	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U526_1	0.003067484662576687	U526	week1	Winter2018	BRMPS	2xdaily	0.38	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U248_3	0.002638522427440633	U248	week1	Fall2016	BRMPS	1xdaily	0.74	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U152_5	0.002509410288582183	U152	week3	Winter2016	BRMPS	2xdaily	0.4	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U271_3	0.0024096385542168677	U271	week1	Fall2016	BRMPS	1xdaily	0.52	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U269_3	0.002380952380952381	U269	week1	Fall2016	BRMPS	1xdaily	0.42	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U536_6	0.0023781212841854932	U536	week3	Winter2018	BRMPS	2xdaily	NA	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U185_5	0.0023612750885478157	U185	week3	Winter2016	BRMPS	2xdaily	0.33	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U131_4	0.002232142857142857	U131	week1	Winter2016	BRMPS	2xdaily	0.54	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U524_1	0.002188183807439825	U524	week1	Winter2018	BRMPS	2xdaily	0.38	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U271_6	0.002162162162162162	U271	week3	Fall2016	BRMPS	1xdaily	0.51	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U259_5	0.0014367816091954023	U259	week3	Fall2016	BRMPS	1xdaily	0.52	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U259_4	0.001379310344827586	U259	week3	Fall2016	BRMPS	1xdaily	0.6	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U259_6	0.0013605442176870747	U259	week3	Fall2016	BRMPS	1xdaily	0.44	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U152_8	0.0013440860215053765	U152	week3	Winter2016	BRMPS	2xdaily	0.52	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U248_5	0.001326259946949602	U248	week3	Fall2016	BRMPS	1xdaily	0.51	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U269_2	0.00130718954248366	U269	week1	Fall2016	BRMPS	1xdaily	0.49	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U152_6	0.001288659793814433	U152	week3	Winter2016	BRMPS	2xdaily	0.51	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U545_5	0.0012468827930174563	U545	week3	Winter2018	BRMPS	2xdaily	0.51	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U536_4	0.0012345679012345679	U536	week3	Winter2018	BRMPS	2xdaily	0.24	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U185_6	0.001218026796589525	U185	week3	Winter2016	BRMPS	2xdaily	0.48	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U545_6	0.0011792452830188679	U545	week3	Winter2018	BRMPS	2xdaily	0.49	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U523_5	0.001176470588235294	U523	week3	Winter2018	BRMPS	2xdaily	0.47	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U152_2	0.0011737089201877935	U152	week1	Winter2016	BRMPS	2xdaily	0.52	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U223_3	0.0011574074074074073	U223	week1	Fall2016	BRMPS	1xdaily	0.65	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U273_6	0.0011534025374855825	U273	week3	Fall2016	BRMPS	1xdaily	0.29	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U223_1	0.0011507479861910242	U223	week1	Fall2016	BRMPS	1xdaily	1	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U152_1	0.0011235955056179776	U152	week1	Winter2016	BRMPS	2xdaily	0.36	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U269_6	0.0011061946902654867	U269	week3	Fall2016	BRMPS	1xdaily	0.48	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
